no      , 1     ,       , 2     ,       , 3     ,       , 4     ,       , 5     ,       , 6     ,       , 7     ,       , 8     ,       , 9     ,       ,10     ,       ,11     ,       ,12     ,       ,
name    , n1    ,       , n1    ,       ,       ,       , n1    ,       , n1    ,       ,       ,       , n2    ,       , n2    ,       ,       ,       , n2    ,       , n2    ,       ,       ,       ,
key     , k1    ,       , k1    ,       ,       ,       , k2    ,       , k2    ,       ,       ,       , k1    ,       , k1    ,       ,       ,       , k2    ,       , k2    ,       ,       ,       ,
category, c1    ,       , c2    ,       , c3    ,       , c1    ,       , c2    ,       , c3    ,       , c1    ,       , c2    ,       , c3    ,       , c1    ,       , c2    ,       , c3    ,       ,
data    , 1.0   , 11.0  , 1.0   , 11.0  , 1.0   ,  0.1  , 1.0   , 11.0  , 1.0   , 11.0  , 1.0   ,  0.1  , 1.0   , 11.0  , 1.0   , 11.0  , 1.0   ,  0.1  , 1.0   , 11.0  , 1.0   , 11.0  , 1.0   ,  0.1  ,
        , 2.0   , 12.0  , 2.0   , 12.0  , 2.0   ,  0.2  , 2.0   , 12.0  , 2.0   , 12.0  , 2.0   ,  0.2  , 2.0   , 12.0  , 2.0   , 12.0  , 2.0   ,  0.2  , 2.0   , 12.0  , 2.0   , 12.0  , 2.0   ,  0.2  ,
        , 3.0   , 13.0  , 3.0   , 13.0  , 3.0   ,  0.3  , 3.0   , 13.0  , 3.0   , 13.0  , 3.0   ,  0.3  , 3.0   , 13.0  , 3.0   , 13.0  , 3.0   ,  0.3  , 3.0   , 13.0  , 3.0   , 13.0  , 3.0   ,  0.3  ,
        , 4.0   , 14.0  , 4.0   , 14.0  ,       ,       , 4.0   , 14.0  , 4.0   , 14.0  ,       ,       , 4.0   , 14.0  , 4.0   , 14.0  ,       ,       , 4.0   , 14.0  , 4.0   , 14.0  ,       ,       ,
        , 5.0   , 15.0  , 5.0   , 15.0  ,       ,       , 5.0   , 15.0  , 5.0   , 15.0  ,       ,       , 5.0   , 15.0  , 5.0   , 15.0  ,       ,       , 5.0   , 15.0  , 5.0   , 15.0  ,       ,       ,
        , 6.0   , 16.0  , 6.0   , 16.0  ,       ,       , 6.0   , 16.0  , 6.0   , 16.0  ,       ,       , 6.0   , 16.0  , 6.0   , 16.0  ,       ,       , 6.0   , 16.0  , 6.0   , 16.0  ,       ,       ,
        , 7.0   , 17.0  , 7.0   , 17.0  ,       ,       , 7.0   , 17.0  , 7.0   , 17.0  ,       ,       , 7.0   , 17.0  , 7.0   , 17.0  ,       ,       , 7.0   , 17.0  , 7.0   , 17.0  ,       ,       ,
        , 8.0   , 18.0  , 8.0   , 18.0  ,       ,       , 8.0   , 18.0  , 8.0   , 18.0  ,       ,       , 8.0   , 18.0  , 8.0   , 18.0  ,       ,       , 8.0   , 18.0  , 8.0   , 18.0  ,       ,       ,
        , 9.0   , 19.0  , 9.0   , 19.0  ,       ,       , 9.0   , 19.0  , 9.0   , 19.0  ,       ,       , 9.0   , 19.0  , 9.0   , 19.0  ,       ,       , 9.0   , 19.0  , 9.0   , 19.0  ,       ,       ,
        ,10.0   , 20.0  ,10.0   , 20.0  ,       ,       ,10.0   , 20.0  ,10.0   , 20.0  ,       ,       ,10.0   , 20.0  ,10.0   , 20.0  ,       ,       ,10.0   , 20.0  ,10.0   , 20.0  ,       ,       ,
        ,11.0   , 21.0  ,10.0   , 21.0  ,       ,       ,11.0   , 21.0  ,11.0   , 21.0  ,       ,       ,11.0   , 21.0  ,11.0   , 21.0  ,       ,       ,11.0   , 21.0  ,11.0   , 21.0  ,       ,       ,
